Number;Technical parameter-name;parameter-name;Description;Observed property;Label;Unit;Symbol
1;0-6-5-0.0-103;high-cloud-cover;High cloud cover;https://codes.ecmwf.int/grib/param-db/3075;Percent;0-100;http://codes.wmo.int/common/unit/_percent
2;0-6-3-0.0-103;low-cloud-cover;Low cloud cover;https://codes.ecmwf.int/grib/param-db/3073;Percent;0-100;http://codes.wmo.int/common/unit/_percent
3;0-6-4-0.0-103;medium-cloud-cover;Medium cloud cover;https://codes.ecmwf.int/grib/param-db/3074;Percent;0-100;http://codes.wmo.int/common/unit/_percent
4;0-6-32-0.0-103;fraction-of-cloud-cover;Fraction of cloud cover;https://codes.ecmwf.int/grib/param-db/?id=248;Percent / 100;0..1;http://codes.wmo.int/common/unit/_percent
5;0-6-32-2.0-103;fraction-of-cloud-cover-2m;Fraction of cloud cover at 2m;https://codes.ecmwf.int/grib/param-db/?id=248;Percent / 100;0..1;http://codes.wmo.int/common/unit/_percent
6;0-0-0-0.0-103;temperature-0m;Temperature in 0m height;https://codes.ecmwf.int/grib/param-db/?id=130;Kelvin;K;http://codes.wmo.int/common/unit/K
7;0-0-0-2.0-103;temperature-2m;Temperature in 2m height;https://apps.ecmwf.int/codes/grib/param-db?id=167;Kelvin;K;http://codes.wmo.int/common/unit/K
8;0-0-0-50.0-103;temperature-50m;Temperature in 50m height;https://apps.ecmwf.int/codes/grib/param-db?id=167;Kelvin;K;http://codes.wmo.int/common/unit/K
9;0-0-0-100.0-103;temperature-100m;Temperature in 100m height;https://apps.ecmwf.int/codes/grib/param-db?id=167;Kelvin;K;http://codes.wmo.int/common/unit/K
10;0-0-0-150.0-103;temperature-150m;Temperature in 150m height;https://apps.ecmwf.int/codes/grib/param-db?id=167;Kelvin;K;http://codes.wmo.int/common/unit/K
11;0-0-0-250.0-103;temperature-250m;Temperature in 250m height;https://apps.ecmwf.int/codes/grib/param-db?id=167;Kelvin;K;http://codes.wmo.int/common/unit/K
12;0-0-0-90.0-105;temperature-90ml;Temperature at model level 90;https://apps.ecmwf.int/codes/grib/param-db?id=167;Kelvin;K;http://codes.wmo.int/common/unit/K
13;0-0-0-2.0-102;temperature-2m-sealevel;Temperature in 2 metre above sea level;https://apps.ecmwf.int/codes/grib/param-db?id=167;Kelvin;K;http://codes.wmo.int/common/unit/K
14;0-0-0-2.0-103-2;temperature-2m-maximum;Maximum temperature in the last hour at 2m height;https://apps.ecmwf.int/codes/grib/param-db?id=167;Kelvin;K;http://codes.wmo.int/common/unit/K
15;0-0-0-2.0-103-3;temperature-2m-minimum;Minimum temperature in the last hour at 2m height;https://apps.ecmwf.int/codes/grib/param-db?id=167;Kelvin;K;http://codes.wmo.int/common/unit/K
16;0-0-6-2.0-103;dew-point-temperature-2m;2 metre dewpoint temperature;https://codes.ecmwf.int/grib/param-db/?id=168;Kelvin;K;http://codes.wmo.int/common/unit/K
17;0-19-0-0.0-103;visibility;Visibility;https://codes.ecmwf.int/grib/param-db/?id=3020;Metre;m;http://codes.wmo.int/common/unit/_m
18;0-2-2-10.0-103;wind-10m-u;10 metre U wind component;https://codes.ecmwf.int/grib/param-db/?id=165;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
19;0-2-2-50.0-103;wind-50m-u;50 metre U wind component;https://codes.ecmwf.int/grib/param-db/?id=131;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
20;0-2-2-100.0-103;wind-100m-u;100 metre U wind component;https://codes.ecmwf.int/grib/param-db/?id=228246;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
21;0-2-2-150.0-103;wind-150m-u;150 metre U wind component;https://codes.ecmwf.int/grib/param-db/?id=131;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
22;0-2-2-250.0-103;wind-250m-u;250 metre U wind component;https://codes.ecmwf.int/grib/param-db/?id=131;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
23;0-2-2-350.0-103;wind-350m-u;350 metre U wind component;https://codes.ecmwf.int/grib/param-db/?id=131;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
24;0-2-2-450.0-103;wind-450m-u;450 metre U wind component;https://codes.ecmwf.int/grib/param-db/?id=131;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
25;0-2-2-90.0-105;wind-90ml-u;U wind component at model level 90;https://codes.ecmwf.int/grib/param-db/?id=131;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
26;0-2-2-10.0-102;wind-10m-sealevel-u;10 metre above sea level U wind component;https://codes.ecmwf.int/grib/param-db/?id=131;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
27;0-2-3-10.0-103;wind-10m-v;10 metre V wind component;https://codes.ecmwf.int/grib/param-db/?id=166;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
-;-;wind-dir-10m (crs=crs84 only);Wind direction at 10m in degrees from true north.;https://apps.ecmwf.int/codes/grib/param-db?id=3031;Degree (angle);degrees;http://codes.wmo.int/common/unit/_degree_(angle)
-;-;wind-speed-10m (crs=crs84 only);The speed of horizontal air movement in metres per second at 10m.;https://apps.ecmwf.int/codes/grib/param-db?id=10;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
28;0-2-3-50.0-103;wind-50m-v;50 metre V wind component;https://codes.ecmwf.int/grib/param-db/?id=132;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
-;-;wind-dir-50m (crs=crs84 only);Wind direction at 50m in degrees from true north.;https://apps.ecmwf.int/codes/grib/param-db?id=3031;Degree (angle);degrees;http://codes.wmo.int/common/unit/_degree_(angle)
-;-;wind-speed-50m (crs=crs84 only);The speed of horizontal air movement in metres per second at 50m.;https://apps.ecmwf.int/codes/grib/param-db?id=10;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
29;0-2-3-100.0-103;wind-100m-v;100 metre V wind component;https://codes.ecmwf.int/grib/param-db/?id=228246;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
-;-;wind-dir-100m (crs=crs84 only);Wind direction at 100m in degrees from true north.;https://apps.ecmwf.int/codes/grib/param-db?id=3031;Degree (angle);degrees;http://codes.wmo.int/common/unit/_degree_(angle)
-;-;wind-speed-100m (crs=crs84 only);The speed of horizontal air movement in metres per second at 100m.;https://apps.ecmwf.int/codes/grib/param-db?id=10;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
30;0-2-3-150.0-103;wind-150m-v;150 metre V wind component;https://codes.ecmwf.int/grib/param-db/?id=132;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
-;-;wind-dir-150m (crs=crs84 only);Wind direction at 150m in degrees from true north.;https://apps.ecmwf.int/codes/grib/param-db?id=3031;Degree (angle);degrees;http://codes.wmo.int/common/unit/_degree_(angle)
-;-;wind-speed-150m (crs=crs84 only);The speed of horizontal air movement in metres per second at 150m.;https://apps.ecmwf.int/codes/grib/param-db?id=10;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
31;0-2-3-250.0-103;wind-250m-v;250 metre V wind component;https://codes.ecmwf.int/grib/param-db/?id=132;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
-;-;wind-dir-250m (crs=crs84 only);Wind direction at 250m in degrees from true north.;https://apps.ecmwf.int/codes/grib/param-db?id=3031;Degree (angle);degrees;http://codes.wmo.int/common/unit/_degree_(angle)
-;-;wind-speed-250m (crs=crs84 only);The speed of horizontal air movement in metres per second at 250m.;https://apps.ecmwf.int/codes/grib/param-db?id=10;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
32;0-2-3-350.0-103;wind-350m-v;350 metre V wind component;https://codes.ecmwf.int/grib/param-db/?id=132;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
-;-;wind-dir-350m (crs=crs84 only);Wind direction at 350m in degrees from true north.;https://apps.ecmwf.int/codes/grib/param-db?id=3031;Degree (angle);degrees;http://codes.wmo.int/common/unit/_degree_(angle)
-;-;wind-speed-350m (crs=crs84 only);The speed of horizontal air movement in metres per second at 350m.;https://apps.ecmwf.int/codes/grib/param-db?id=10;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
33;0-2-3-450.0-103;wind-450m-v;450 metre V wind component;https://codes.ecmwf.int/grib/param-db/?id=132;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
-;-;wind-dir-450m (crs=crs84 only);Wind direction at 450m in degrees from true north.;https://apps.ecmwf.int/codes/grib/param-db?id=3031;Degree (angle);degrees;http://codes.wmo.int/common/unit/_degree_(angle)
-;-;wind-speed-450m (crs=crs84 only);The speed of horizontal air movement in metres per second at 450m.;https://apps.ecmwf.int/codes/grib/param-db?id=10;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
34;0-2-3-90.0-105;wind-90ml-v;V wind component at model level 90;https://codes.ecmwf.int/grib/param-db/?id=132;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
-;-;wind-dir-90ml (crs=crs84 only);Wind direction at model level 90 in degrees from true north.;https://apps.ecmwf.int/codes/grib/param-db?id=3031;Degree (angle);degrees;http://codes.wmo.int/common/unit/_degree_(angle)
-;-;wind-speed-90ml (crs=crs84 only);The speed of horizontal air movement in metres per second at model level 90.;https://apps.ecmwf.int/codes/grib/param-db?id=10;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
35;0-2-3-10.0-102;wind-10m-sealevel-v;10 metre above sea level V wind component;https://codes.ecmwf.int/grib/param-db/?id=132;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
-;-;wind-dir-10m-sealevel (crs=crs84 only);Wind direction at 10m above sea level in degrees from true north.;https://apps.ecmwf.int/codes/grib/param-db?id=3031;Degree (angle);degrees;http://codes.wmo.int/common/unit/_degree_(angle)
-;-;wind-speed-10m-sealevel (crs=crs84 only);The speed of horizontal air movement in metres per second at 10m above sea level.;https://apps.ecmwf.int/codes/grib/param-db?id=10;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
36;0-2-1-10.0-103;wind-speed;The speed of horizontal air movement in metres per second. Same as wind-speed-10m.;https://apps.ecmwf.int/codes/grib/param-db?id=10;Metres pr. second;m s**-1;http://codes.wmo.int/common/unit/_m_s-1
37;0-2-0-10.0-103;wind-dir;Wind direction in degrees from true north. Same as wind-dir-10m.;https://apps.ecmwf.int/codes/grib/param-db?id=3031;Degree (angle);degrees;http://codes.wmo.int/common/unit/_degree_(angle)
